C02-1122 ==> H01-1043:0.9713, C00-1063:0.9076, W02-1608:0.8622, W97-0123:0.8382, I05-1005:0.8089, P98-2214:0.7719, N06-1023:0.7600, W02-1501:0.7533, W02-0906:0.7437, P09-2052:0.7376
P14-1069 ==> P14-3007:0.8821, P13-2018:0.8551, P13-1043:0.8482, Q13-1025:0.8350, J11-1005:0.8331, P12-2001:0.8291, P11-1141:0.8287, W10-4150:0.8283, P13-1013:0.8278, W10-4144:0.8203
E06-2008 ==> W00-1417:0.8020, P98-2199:0.7863, W01-0806:0.7817, C02-2009:0.7751, P08-3006:0.7434, P05-1007:0.7401, W11-2704:0.7385, W93-0210:0.7281, H86-1023:0.7242, P98-1084:0.7237
C92-1048 ==> E93-1025:0.9547, P93-1009:0.8917, J90-4001:0.8687, P97-1051:0.8445, J97-3005:0.8393, P92-1002:0.7873, P94-1003:0.7669, P90-1018:0.7660, P94-1008:0.7592, E95-1032:0.7534
H92-1020 ==> P08-3007:0.9448, H94-1015:0.9347, C96-2154:0.9188, D14-1051:0.9100, P98-2207:0.9094, N01-1004:0.8915, N09-1060:0.8871, P98-1020:0.7920, H93-1021:0.7828, H91-1057:0.7741
N09-1007 ==> N06-2049:0.9166, P07-2007:0.9163, W10-4128:0.9159, P06-2123:0.9143, I08-4009:0.9002, I08-4033:0.8973, P12-1027:0.8885, W06-0127:0.8872, W10-4136:0.8845, I05-3035:0.8841
N06-1019 ==> J07-4004:0.8251, P07-1032:0.8211, W04-3215:0.8078, W07-2202:0.8006, D11-1037:0.7831, J07-3004:0.7817, W03-0401:0.7790, D08-1050:0.7751, D09-1085:0.7727, I08-2096:0.7696
W13-1402 ==> P11-2014:0.8746, W12-2502:0.8543, D10-1051:0.8508, W09-2005:0.7768, D10-1016:0.7519, N13-2004:0.7095, D13-1011:0.7071, W13-2713:0.6773, S14-2054:0.6658, W12-0413:0.6651
I05-1040 ==> I08-1031:0.9372, P06-1143:0.9040, C00-1061:0.8995, W06-1902:0.8938, P09-2006:0.8916, C04-1103:0.8884, I08-1008:0.8795, C10-2112:0.8744, P06-2025:0.8683, P07-2039:0.8625
W09-1302 ==> N03-5006:0.8746, W10-1920:0.8492, S10-1076:0.8189, P11-2047:0.8160, W00-0503:0.7789, P09-4002:0.7675, I05-1037:0.7528, W01-1306:0.7449, C08-3012:0.7442, W09-2422:0.7361
L08-1364 ==> I05-1041:0.8651, P04-3004:0.8417, P11-2030:0.8244, C04-1005:0.8238, P02-1052:0.8083, W05-0818:0.7984, W01-1411:0.7911, W06-3107:0.7901, W01-1414:0.7829, P04-3006:0.7821
A00-2025 ==> W09-3910:0.8982, P10-1009:0.8634, W09-3934:0.8263, N06-2023:0.8050, N10-1134:0.7740, P11-5003:0.7737, N04-4023:0.7632, W98-1421:0.7609, H01-1011:0.7531, W06-3326:0.7523
W07-2208 ==> W06-1619:0.8687, C08-1069:0.8118, I05-1018:0.8099, C10-2051:0.8057, W07-2206:0.8035, C04-1041:0.7995, J13-3010:0.7886, P06-2091:0.7874, W07-1203:0.7818, W07-2207:0.7777
C04-1091 ==> C02-1050:0.9160, E06-1004:0.8997, J10-3001:0.8985, W01-1405:0.8662, P07-2002:0.8350, P09-1038:0.8269, L08-1577:0.8248, W06-3109:0.8161, W03-0307:0.8106, N07-2009:0.7997
C92-1034 ==> P92-1010:0.9509, J92-4004:0.8939, P96-1045:0.8049, P89-1027:0.7984, C96-1034:0.7579, P98-1033:0.7573, P95-1013:0.7568, W13-2131:0.7534, J13-3005:0.7474, P06-2032:0.7464
P97-1044 ==> E93-1032:0.9236, E95-1019:0.9219, E93-1034:0.9182, C92-1024:0.9071, W05-1503:0.9071, C90-2041:0.8960, C92-1061:0.8889, C96-1091:0.8886, P91-1011:0.8854, P88-1033:0.8822
P11-2113 ==> W11-0507:0.8846, P10-1084:0.8837, N09-1041:0.8738, P14-2055:0.8606, C14-1113:0.8412, P11-1050:0.8258, Q13-1008:0.8246, P11-1052:0.8244, D08-1079:0.8180, N06-2006:0.8136
W12-3123 ==> W12-3151:0.8598, W11-2131:0.8524, W10-1740:0.8499, C14-2028:0.8370, W10-3807:0.8180, W09-3712:0.8026, C98-2233:0.7832, P13-4014:0.7778, C08-1115:0.7751, P84-1051:0.7689
W05-1516 ==> N07-3002:0.8266, P08-1061:0.7938, P08-1068:0.7750, W06-2904:0.7519, P13-2019:0.7512, P09-1007:0.7451, S13-1035:0.7411, D11-1118:0.7329, D09-1058:0.7300, C14-1078:0.7159
W06-0607 ==> W14-3624:0.8409, P13-2088:0.8122, S10-1099:0.8030, W10-4119:0.8015, S13-2083:0.7909, W14-3010:0.7876, S14-2099:0.7830, P11-2103:0.7724, W11-1716:0.7677, D09-1019:0.7630
W14-3337 ==> C14-2014:0.7690, C14-1184:0.7395, N07-1051:0.6903, C14-1177:0.6876, W14-4205:0.6850, W06-2903:0.6623, P14-1022:0.6478, W14-4912:0.6460, W06-1638:0.6457, P13-2040:0.6454
P11-1118 ==> N12-1001:0.7715, W04-2317:0.7555, W13-1914:0.7420, D11-1069:0.7402, W09-3208:0.7347, E03-1061:0.7256, J08-1001:0.7252, N09-2013:0.7149, P11-2022:0.7117, W10-4310:0.7116
P09-4006 ==> W03-1108:0.8987, W14-4805:0.8556, I08-2084:0.8487, C10-2073:0.8351, W13-2411:0.8316, C02-1166:0.8261, P03-2025:0.8200, P14-1121:0.8005, C04-1105:0.7974, E03-1023:0.7934
