C02-1122 ==> H01-1043:0.9659, W02-1608:0.9090, C00-1063:0.9082, I05-1005:0.8634, W97-0123:0.8573, C04-1174:0.7958, C08-1097:0.7918, C04-1050:0.7869, P05-1076:0.7867, N06-1023:0.7815
P14-1069 ==> P14-1001:0.8809, P12-1026:0.8804, C10-2176:0.8795, P13-2018:0.8775, J13-1003:0.8689, P12-2001:0.8684, D13-1116:0.8649, D10-1066:0.8636, D12-1096:0.8600, W13-3202:0.8596
E06-2008 ==> W01-0806:0.8651, E03-1062:0.8593, H90-1010:0.8536, W00-1417:0.8516, I05-5005:0.8512, W00-1431:0.8456, H91-1035:0.8391, W90-0101:0.8387, W04-2809:0.8300, C00-2164:0.8289
C92-1048 ==> E93-1025:0.9543, P97-1051:0.9000, P92-1002:0.8920, P93-1009:0.8843, J90-4001:0.8681, J97-3005:0.8676, W04-0712:0.8457, E95-1032:0.8311, J01-4002:0.8282, P92-1004:0.8210
H92-1020 ==> P08-3007:0.9761, H94-1015:0.9716, N01-1004:0.9672, C96-2154:0.9659, D14-1051:0.9651, N09-1060:0.9551, P98-2207:0.9534, P98-1020:0.8829, W01-0508:0.8437, W00-1315:0.8236
N09-1007 ==> W10-4136:0.9417, W10-4128:0.9396, I08-4009:0.9383, P07-2007:0.9347, D13-1031:0.9332, P06-2123:0.9290, N13-3006:0.9271, C10-1132:0.9270, I08-4019:0.9226, N07-1068:0.9217
N06-1019 ==> S10-1069:0.9079, P10-1035:0.8789, W03-0401:0.8771, C10-1026:0.8759, P06-4014:0.8723, W06-1619:0.8691, W08-1302:0.8682, W12-0905:0.8677, C10-2051:0.8651, P04-3008:0.8627
W13-1402 ==> W12-2502:0.8448, P11-2014:0.8088, D08-1098:0.7639, W13-4006:0.7633, W14-2514:0.7591, W13-1401:0.7587, P11-4009:0.7547, S13-2060:0.7528, W13-1611:0.7522, S14-2077:0.7516
I05-1040 ==> C00-1061:0.9561, I08-1008:0.9487, C10-2112:0.9446, P06-1143:0.9092, I08-8003:0.8971, D09-1069:0.8970, C04-1103:0.8964, W10-2411:0.8961, I08-1031:0.8924, W10-2402:0.8762
W09-1302 ==> P11-2047:0.9428, S10-1076:0.9317, W01-1306:0.9287, W09-3716:0.9181, W09-3744:0.9174, N03-5006:0.9145, E87-1028:0.9141, C82-2046:0.9139, C02-1031:0.9137, W12-1701:0.9136
L08-1364 ==> I05-1041:0.9326, I05-1051:0.9304, W05-0818:0.9203, C04-1005:0.9069, C02-1160:0.9043, C04-1031:0.9033, E06-1020:0.8989, P04-3004:0.8983, P10-2025:0.8938, P05-1058:0.8932
A00-2025 ==> W10-0716:0.9145, N06-2050:0.9101, N10-1134:0.8930, P08-2051:0.8929, N06-2023:0.8815, N10-1001:0.8760, W09-3611:0.8727, C96-2166:0.8706, P11-5003:0.8652, W06-0702:0.8576
W07-2208 ==> S10-1069:0.9064, C14-1057:0.8958, W05-1511:0.8922, W06-1619:0.8836, C10-1026:0.8756, P10-1035:0.8727, P12-1052:0.8710, P11-1069:0.8654, C10-2051:0.8648, W03-0401:0.8638
C04-1091 ==> C02-1050:0.9655, E06-1004:0.9611, J10-3001:0.9461, W06-3109:0.9201, W01-1405:0.9173, C10-2084:0.9163, H05-1096:0.9121, P06-1090:0.9116, W09-2304:0.9077, P09-1038:0.9073
C92-1034 ==> P92-1010:0.9533, J05-2003:0.9046, P06-1018:0.9020, P96-1045:0.8968, J92-4004:0.8967, P95-1013:0.8891, W06-1507:0.8882, C08-3003:0.8812, P89-1027:0.8803, P98-1033:0.8744
