C02-1122 ==> H01-1043, W02-1608, C00-1063, W97-0123, C04-1174
P14-1069 ==> P11-2126, P13-1043, W10-4144, P09-1006, P12-2001
E06-2008 ==> W00-1417, P98-2199, W11-2704, C02-2009, I05-5005
C92-1048 ==> E93-1025, P93-1009, P97-1051, P92-1002, J90-4001
H92-1020 ==> P08-3007, H94-1015, C96-2154, D14-1051, P98-2207
N09-1007 ==> W10-4128, N06-2049, P07-2007, P12-1027, P06-2123
N06-1019 ==> S10-1069, P07-1032, P09-2014, D08-1050, J07-4004
W13-1402 ==> P11-2014, W12-2502, W09-2005, D10-1051, D10-1016
I05-1040 ==> I08-1031, P06-2025, P06-1143, C00-1061, P07-2039
W09-1302 ==> N03-5006, W10-1920, S10-1076, P11-2047, I05-1037
L08-1364 ==> P04-3002, P11-2030, P02-1052, I05-1041, E06-1020
A00-2025 ==> W09-3910, P10-1009, W09-3934, N06-2023, N07-2054
W07-2208 ==> W06-1619, C10-1144, C08-1069, S10-1069, W07-1217
C04-1091 ==> C02-1050, J10-3001, E06-1004, P09-1038, W03-0307
C92-1034 ==> P92-1010, J92-4004, P96-1045, P89-1027, P06-1018
P97-1044 ==> C92-1024, C90-2041, E95-1019, P99-1060, E93-1032
P11-2113 ==> W11-0507, P10-1084, N09-1041, P14-2055, P11-1050
W12-3123 ==> W12-3151, C14-2028, W09-3712, W11-2131, W10-3807
W05-1516 ==> W06-1638, P08-1068, S13-1035, P08-1061, N07-3002
W06-0607 ==> W05-0308, N06-3005, W04-2323, W10-4119, W14-3624
W14-3337 ==> C14-2014, C14-1184, W14-2702, W14-1203, P13-4031
P11-1118 ==> P11-2022, N12-1001, W04-2317, C98-1062, D11-1069
P09-4006 ==> W03-1108, I08-2084, W14-4805, P03-2025, W11-1206
C88-1024 ==> C90-2009, J87-1001, C92-1017, W91-0113, C90-2058
J80-2003 ==> C80-1008, T78-1029, J79-1063, J81-2002, T75-2023
W08-1135 ==> I05-2043, P80-1031, T75-2029, T75-2017, W05-0108
P11-2074 ==> D13-1083, P12-1002, P13-1110, D13-1112, W08-1510
P05-1004 ==> W07-2032, J09-3004, E09-1045, W09-0214, N06-1017
P13-1159 ==> P13-1170, P14-1093, P10-1026, S13-2070, P08-1047
P04-1085 ==> E06-1022, W11-2005, D09-1118, W14-4321, W08-0125
E14-1060 ==> N03-2015, W06-3208, W14-2804, P10-1039, E12-1066
P07-1039 ==> W12-0109, P11-3001, E09-1063, C10-1040, P12-2056
W10-1702 ==> P11-1126, P09-1066, P11-1127, C10-1036, W11-2116
E87-1025 ==> E87-1043, E87-1013, C86-1088, W04-0602, C67-1028
D13-1115 ==> P14-1068, D14-1005, P14-2134, P14-2135, N13-1043
I05-1073 ==> C02-1012, W04-1102, W06-0103, I05-3006, W03-1718
J06-2001 ==> L08-1163, W14-2005, P06-1044, W02-1016, I08-2107
W06-1312 ==> D13-1012, W06-1613, N06-1050, W06-0804, P14-2059
P13-1072 ==> W06-0134, I08-4019, P14-2033, D14-1011, W10-4138
W06-1422 ==> W06-1421, L08-1369, E06-1040, E09-2009, E06-1045
W12-4108 ==> D08-1043, W11-0316, D11-1146, W14-1204, P13-1084
W07-1312 ==> W95-0110, N09-1060, W97-0901, H01-1044, P11-4014
P10-1022 ==> L08-1039, P10-5001, W07-1517, L08-1597, W07-1212
C96-2136 ==> W96-0205, J01-1001, P04-1057, W95-0109, W96-0113
J87-3004 ==> C90-2008, T87-1006, W91-0209, C88-2110, E91-1042
W14-0811 ==> P06-2057, L08-1550, W12-1902, W14-2907, H05-1108
W06-0406 ==> C04-1026, W04-0408, W06-1502, P06-1138, W04-1510
W97-0910 ==> P98-1072, E95-1028, C00-2166, E99-1012, H92-1051
N03-1013 ==> W06-1407, P01-1032, P96-1004, P10-2045, L08-1566
C88-2116 ==> H86-1021, T87-1020, C02-1124, W13-1012, P84-1029
C14-1176 ==> P10-2042, P09-2085, D14-1180, D12-1021, D09-1037
C14-1025 ==> Q13-1013, E12-1059, C14-1151, S13-2043, S14-2133
D07-1067 ==> W06-1632, W04-3210, D09-1036, W03-1009, W04-3211
W13-2502 ==> L08-1130, C10-1073, C10-1003, P14-1121, N13-1075
C02-1025 ==> W03-0423, E99-1001, M98-1021, W03-0432, W02-2022
P91-1027 ==> E91-1039, H91-1067, P98-1014, J87-3009, P90-1032
P94-1031 ==> P92-1011, C94-2148, C90-2060, W91-0110, P98-2227
W14-0504 ==> N12-1045, D13-1004, P14-1101, D10-1056, W11-0301
N09-2018 ==> C00-1014, I08-1052, P98-1023, C96-1023, C94-1091
A00-3006 ==> W10-0909, N03-4012, X96-1036, A97-2010, E06-2018
P06-2029 ==> P06-1041, C02-1004, P06-1037, W99-0614, I05-1017
J00-1005 ==> W98-1306, P03-1025, W98-1302, P01-1007, P97-1058
P10-1033 ==> C10-2084, D12-1041, P11-2066, D10-1052, W13-0807
H89-2049 ==> W97-1405, C88-2119, H86-1015, W97-1501, W90-0113
W14-4314 ==> W12-1808, W14-4315, W11-0144, E09-1085, W11-2014
D12-1037 ==> W12-3159, D13-1083, P12-1031, D11-1004, W11-2165
E85-1037 ==> P85-1012, E85-1027, H86-1019, J82-2001, T87-1044
P10-1103 ==> W10-4235, E09-1078, E14-4041, P08-1055, W09-3916
C86-1017 ==> C86-1093, C86-1150, C90-3060, E87-1027, W04-2215
P98-2177 ==> P97-1024, W97-0317, W97-0109, W99-0632, P99-1081
W06-0206 ==> W09-1116, P10-1029, L08-1053, P07-1068, S12-1028
D10-1036 ==> D09-1027, P11-1039, C08-1122, W08-1404, N10-1101
W07-0203 ==> S10-1037, P05-3013, W14-1204, E14-3011, C10-1098
C96-1057 ==> C92-1046, C96-2113, C88-1033, E89-1006, W98-0310
C08-1082 ==> W07-1108, E09-1071, P08-1027, W09-2415, P07-1072
W04-1113 ==> W07-2050, P08-1018, W08-1901, I08-2102, D09-1083
L08-1286 ==> W01-1410, W03-0307, P04-3005, I08-1024, W03-0602
