C02-1122 ==> H01-1043:0.9442, C04-1174:0.9189, W02-1608:0.8612, I08-2110:0.8189, N06-1023:0.7853, C02-1051:0.7767, P09-2052:0.7687, I05-1005:0.7587, P06-2097:0.7444, P06-2076:0.7384
P14-1069 ==> P13-1043:0.9115, P13-2105:0.8707, W10-4150:0.8698, P11-2126:0.8680, P12-1026:0.8653, P13-2110:0.8595, P13-2018:0.8594, C10-2176:0.8412, C14-2004:0.8385, P09-1006:0.8375
N09-1007 ==> W10-4128:0.8898, P14-2033:0.8871, D13-1119:0.8720, P07-2007:0.8717, W10-4138:0.8706, N06-2049:0.8675, I08-4009:0.8673, W06-0140:0.8660, W10-4122:0.8649, W10-4129:0.8635
N06-1019 ==> D11-1115:0.8108, S10-1069:0.8090, E14-1014:0.8072, S10-1060:0.7890, W04-3215:0.7862, W03-0401:0.7853, W09-3306:0.7851, C14-1057:0.7820, P10-1036:0.7744, C08-1113:0.7671
W13-1402 ==> W12-2502:0.9034, P11-2014:0.8661, D10-1051:0.8488, W09-2005:0.8170, C04-1160:0.7752, W04-2806:0.7647, N13-2004:0.7407, W10-0305:0.7328, W09-2006:0.6979, D10-1016:0.6916
I05-1040 ==> C04-1103:0.9654, C00-1061:0.9638, I08-1031:0.9519, P10-2051:0.9407, I08-1008:0.9298, P04-3003:0.9255, W06-1629:0.9135, C10-2112:0.9132, P06-2025:0.9047, I05-1003:0.9030
W09-1302 ==> N03-5006:0.8637, W10-1920:0.8467, W07-2108:0.8456, W11-0143:0.8249, W01-1309:0.8233, C04-1008:0.8207, S10-1076:0.8168, H01-1038:0.8129, W09-2812:0.8118, W01-1313:0.8052
A00-2025 ==> W10-3407:0.8130, W12-2306:0.8009, C02-1123:0.7962, W01-1014:0.7929, C00-2161:0.7915, W09-2819:0.7905, P05-2007:0.7895, W07-1905:0.7893, E12-1057:0.7878, W05-0710:0.7843
W07-2208 ==> C08-1069:0.8729, W06-1619:0.8659, C10-1144:0.8252, W07-1209:0.8028, P06-1037:0.7943, P06-1041:0.7594, W08-1004:0.7474, S14-2064:0.7442, E09-1093:0.7362, W14-2406:0.7257
C04-1091 ==> E06-1004:0.9381, J10-3001:0.9090, N03-1010:0.7686, L08-1566:0.7046, H05-1109:0.6884, D08-1086:0.6851, C02-1050:0.6800, W04-3245:0.6717, W01-1409:0.6699, W09-2308:0.6633
P11-2113 ==> Q13-1008:0.9078, W11-0507:0.9058, P14-2055:0.8974, P11-1050:0.8690, E12-1022:0.8640, D08-1079:0.8638, W14-3703:0.8531, C10-1111:0.8516, P07-2025:0.8494, N09-1041:0.8480
W12-3123 ==> W09-3712:0.8450, L08-1132:0.8129, P13-4014:0.8126, C14-2028:0.8002, W12-3111:0.7806, P14-1067:0.7783, C04-1046:0.7774, W12-3151:0.7767, W13-2231:0.7697, W13-2247:0.7696
W05-1516 ==> W06-2904:0.7863, P08-1061:0.7720, N07-3002:0.7396, D09-1058:0.7056, P08-1068:0.6986, N06-1021:0.6949, W07-2216:0.6923, D08-1007:0.6890, D07-1015:0.6555, D13-1129:0.6547
W06-0607 ==> S10-1098:0.9279, W05-0308:0.9131, L08-1617:0.9082, P05-2006:0.9020, W10-4119:0.8961, N06-3005:0.8849, W07-1515:0.8541, C08-2002:0.8529, W08-1124:0.8514, P07-2023:0.8482
W14-3337 ==> C14-2014:0.8082, C14-1184:0.7834, W14-2702:0.7457, W12-1705:0.7222, D10-1080:0.7180, P11-1077:0.7178, D12-1135:0.7019, W09-3201:0.7001, D14-1100:0.6960, D13-1195:0.6904
P11-1118 ==> W06-1662:0.7777, W04-2317:0.7664, H05-1122:0.7587, J01-1002:0.7437, N12-1001:0.7433, W06-3407:0.7411, P06-1026:0.7382, E06-1035:0.7369, P11-2022:0.7318, D08-1100:0.7229
P09-4006 ==> W03-1108:0.9409, P03-2025:0.9261, W14-4805:0.9245, I08-2084:0.9045, D09-1091:0.8593, W11-1219:0.8558, C02-1046:0.8443, C10-2073:0.8127, P06-1010:0.8086, E06-2014:0.8085
