C02-1122 ==> C04-1174:0.9666, H01-1043:0.9515, I08-2110:0.9413, W02-1608:0.9407, P09-2052:0.8824, I05-1005:0.8587, P06-2097:0.8408, N06-1023:0.8380, C04-1050:0.8120, P02-1028:0.7736
P14-1069 ==> P14-2129:0.9020, W13-3507:0.8976, P13-2110:0.8908, Q13-1025:0.8906, P14-1099:0.8849, N09-2032:0.8847, P13-2018:0.8836, P13-1013:0.8807, P13-2105:0.8807, P12-1110:0.8780
N09-1007 ==> N06-2049:0.9651, P06-2123:0.9635, W10-4138:0.9615, W10-4129:0.9615, I08-1002:0.9615, I05-3035:0.9587, P07-2007:0.9569, C10-1132:0.9549, I05-3019:0.9527, W06-0127:0.9515
N06-1019 ==> L08-1073:0.8931, P07-3002:0.8903, J13-3010:0.8833, I08-2096:0.8787, W07-1426:0.8766, C14-1057:0.8744, C10-2168:0.8739, W03-0401:0.8715, D11-1115:0.8643, W07-1209:0.8615
W13-1402 ==> P11-2014:0.9718, D10-1051:0.9184, W09-2005:0.8897, D13-1011:0.8271, D10-1016:0.8228, W04-2806:0.8221, N13-2004:0.8036, W10-1201:0.7985, C04-1160:0.7926, W09-2006:0.7892
I05-1040 ==> I08-1031:0.9888, P09-2006:0.9829, C04-1103:0.9811, W03-1501:0.9785, I05-1003:0.9765, P04-3003:0.9746, C10-2112:0.9742, P04-1024:0.9674, P06-2025:0.9669, I08-1008:0.9655
W09-1302 ==> N03-5006:0.9521, S10-1076:0.9497, W07-2108:0.9405, L08-1407:0.9375, W00-0503:0.9348, I05-1037:0.9132, N03-4004:0.9130, W01-1312:0.9112, N06-2008:0.9085, H01-1038:0.9079
A00-2025 ==> E99-1007:0.9669, C04-1025:0.9624, N03-5005:0.9603, N04-4007:0.9579, L08-1377:0.9577, P03-2008:0.9567, N04-3003:0.9564, P10-1082:0.9557, P99-1079:0.9557, W04-1803:0.9553
W07-2208 ==> W06-1619:0.9298, C08-1069:0.9248, C10-1026:0.9245, I05-1018:0.9039, W07-1209:0.8961, W11-0407:0.8946, S12-1040:0.8906, W08-1705:0.8855, S10-1060:0.8842, W07-1203:0.8775
C04-1091 ==> E06-1004:0.9772, J10-3001:0.9617, N03-1010:0.8619, W12-6217:0.8551, W12-0106:0.8523, D08-1086:0.8462, H05-1109:0.8452, I05-1053:0.8360, N07-2009:0.8333, W07-0413:0.8330
P11-2113 ==> Q13-1008:0.9652, C14-1113:0.9498, E12-1022:0.9458, W11-0507:0.9409, P10-1084:0.9405, C14-1187:0.9305, P14-2055:0.9255, P07-2025:0.9240, N06-1059:0.9214, D13-1069:0.9207
W12-3123 ==> L08-1040:0.9486, W08-0903:0.9476, W12-3151:0.9466, W08-0311:0.9448, L08-1132:0.9427, P10-1145:0.9408, C10-2162:0.9342, W09-3838:0.9335, P11-1084:0.9314, P13-1098:0.9303
W05-1516 ==> P08-1110:0.8423, P12-1024:0.8307, W06-2904:0.8255, P08-2054:0.8159, N06-1021:0.8129, P08-1061:0.8120, N13-1015:0.8094, D12-1044:0.8013, P11-1156:0.7957, E12-1042:0.7953
W06-0607 ==> P05-2006:0.9783, P11-4022:0.9751, S10-1098:0.9730, W07-1515:0.9728, C08-2002:0.9690, W10-4119:0.9679, L08-1617:0.9625, W05-0308:0.9577, N06-3005:0.9531, W07-2072:0.9458
W14-3337 ==> C14-2014:0.8331, W08-1005:0.8074, S12-1024:0.7928, S10-1021:0.7923, P11-1077:0.7884, P11-2109:0.7846, W10-4144:0.7821, E14-4032:0.7820, P14-1020:0.7800, C14-1184:0.7791
P11-1118 ==> W10-1013:0.9102, P09-2067:0.9084, S12-1052:0.9044, L08-1459:0.9030, W13-2134:0.9024, S10-1076:0.9021, P11-2047:0.9010, N03-4004:0.8997, W10-1103:0.8975, W11-0210:0.8961
P09-4006 ==> W03-1108:0.9794, P03-2025:0.9651, C02-1166:0.9163, D09-1091:0.9085, E06-2014:0.9052, P14-2017:0.9026, W08-1402:0.8999, I08-2084:0.8945, A00-1002:0.8815, P07-3005:0.8799
W08-1135 ==> W12-2307:0.9602, L08-1035:0.9479, W09-2821:0.9467, L08-1377:0.9457, C04-1025:0.9455, N10-1098:0.9453, W02-1501:0.9448, W10-4304:0.9439, W09-3912:0.9432, A00-3005:0.9429
P11-2074 ==> C14-1105:0.9386, D14-1183:0.9252, I08-2087:0.9244, W10-1719:0.9170, W05-0836:0.9129, C08-1137:0.9098, N13-1035:0.9084, W08-1510:0.9082, W14-3314:0.9077, P06-1090:0.9077
P05-1004 ==> J09-3004:0.9454, W07-2032:0.9301, W14-1114:0.9040, N06-1017:0.8877, W10-3906:0.8777, W07-2090:0.8682, S12-1011:0.8661, N07-1024:0.8363, W07-0610:0.8321, W07-2059:0.8186
P13-1159 ==> P06-2059:0.8391, P11-2100:0.8390, W12-3717:0.8322, S14-2042:0.8308, D11-1101:0.8261, W12-3704:0.8202, D09-1019:0.8189, D13-1091:0.8174, L08-1158:0.8088, W10-3405:0.8080
P04-1085 ==> W08-0123:0.9690, D09-1118:0.9617, N06-2014:0.9584, W11-2005:0.9565, W14-4321:0.9552, P11-2065:0.9551, L08-1475:0.9519, N07-1004:0.9400, N03-2012:0.9367, W08-0125:0.9363
E14-1060 ==> W04-0105:0.9376, W05-0503:0.9329, W02-0605:0.9329, N06-1062:0.9250, I05-1009:0.9245, W02-0601:0.9231, W05-0504:0.9193, E06-2022:0.9146, C04-1152:0.9124, W04-0106:0.9115
P07-1039 ==> E09-1063:0.8752, I08-1033:0.8699, P06-1002:0.8694, W13-2812:0.8692, W07-0722:0.8668, P08-1010:0.8579, W10-2913:0.8576, N07-2053:0.8550, W12-3158:0.8462, W11-2132:0.8461
W10-1702 ==> W13-2260:0.9104, N10-1141:0.9083, W10-1724:0.9077, W10-3802:0.9063, D11-1081:0.9052, N10-1033:0.9038, N13-1035:0.9037, W10-3804:0.8994, D10-1052:0.8981, W13-0807:0.8980
D13-1115 ==> N09-2030:0.7377, D12-1137:0.7324, P11-1096:0.7191, D08-1103:0.7185, D14-1160:0.7124, P12-1015:0.7121, D14-1039:0.7117, W07-1029:0.7073, P13-2010:0.7019, P11-2064:0.6983
I05-1073 ==> W04-1102:0.9625, W06-0103:0.9550, D09-1162:0.9520, W03-1509:0.9460, W04-1119:0.9448, I05-3034:0.9392, P03-1035:0.9140, I08-4023:0.9087, W06-0136:0.9027, I05-3001:0.9009
J06-2001 ==> C08-1057:0.9575, L08-1163:0.9429, L08-1097:0.9299, P06-1044:0.9090, P04-2008:0.9018, P07-3016:0.8979, I08-2107:0.8977, W06-1905:0.8975, C04-1104:0.8927, W06-2910:0.8878
W06-1312 ==> L08-1047:0.9789, W06-1613:0.9606, N07-1040:0.9601, D13-1012:0.9518, D09-1155:0.9507, W06-0804:0.9471, N06-1050:0.9378, P14-2059:0.9236, P06-1116:0.9126, W13-2116:0.8749
P13-1072 ==> P14-2060:0.8835, P11-2013:0.8606, E14-2009:0.8494, C14-1167:0.8475, P14-1128:0.8430, P10-1079:0.8410, I08-4012:0.8391, P14-2122:0.8361, P14-2033:0.8342, P08-2020:0.8332
W06-1422 ==> W06-1421:0.9867, L08-1369:0.9799, E09-2009:0.9565, P08-2050:0.9415, W09-0603:0.9280, E06-1045:0.9102, J09-4008:0.9065, W10-4201:0.9040, W05-1601:0.9006, W07-1909:0.8922
W12-4108 ==> W11-0316:0.9044, W06-3111:0.8220, E14-3011:0.8150, S10-1040:0.8130, J10-3010:0.8106, S10-1037:0.8091, S14-2037:0.8043, D08-1043:0.8011, S10-1034:0.7986, W06-3809:0.7969
P10-1022 ==> W14-3007:0.8872, L08-1039:0.8764, W10-1811:0.8531, W08-1303:0.8529, C10-2156:0.8523, W08-2130:0.8490, L08-1240:0.8372, W09-2601:0.8352, W10-4143:0.8350, W07-1212:0.8326
W14-0811 ==> P06-2057:0.9491, L08-1550:0.9280, W12-1902:0.9144, W08-1810:0.8864, W08-2137:0.8782, W08-2133:0.8751, W09-1127:0.8739, W08-1801:0.8636, W05-1002:0.8592, S10-1065:0.8570
