C02-1122 ==> C04-1174:0.9666, H01-1043:0.9425, W02-1608:0.9353, I08-2110:0.9298, N06-1023:0.8873, D09-1151:0.8837, P09-2052:0.8735, I05-1005:0.8460, I08-1065:0.8349, D07-1032:0.8205
P14-1069 ==> W06-3603:0.9183, P14-1099:0.9116, D12-1019:0.9104, W12-3401:0.9102, P12-1024:0.9085, P12-1019:0.9082, W13-3202:0.9079, D10-1002:0.9066, P12-1081:0.9027, P10-2035:0.9016
N09-1007 ==> I05-3035:0.9562, P07-2007:0.9418, W10-4138:0.9382, I08-4019:0.9381, W10-4128:0.9375, W10-4129:0.9331, N06-2049:0.9289, W06-0118:0.9280, W10-4139:0.9244, W06-0140:0.9226
N06-1019 ==> D08-1050:0.9074, W04-3215:0.9069, D11-1115:0.9040, W14-2406:0.8968, I08-2096:0.8900, D10-1068:0.8882, C14-1057:0.8870, P06-2091:0.8742, W07-1426:0.8739, S14-2064:0.8735
W13-1402 ==> W12-2502:0.8770, P11-2014:0.8544, W09-2006:0.8117, D10-1016:0.8037, D10-1051:0.7747, P13-1084:0.7597, W09-2005:0.7548, P08-1051:0.7364, W04-0904:0.7289, C08-1048:0.7274
I05-1040 ==> C10-2112:0.9864, P10-2051:0.9856, P06-2025:0.9853, I08-1008:0.9748, I08-1031:0.9686, C04-1103:0.9594, W06-1629:0.9590, W10-2402:0.9583, W12-4401:0.9556, P06-1142:0.9552
W09-1302 ==> W00-0503:0.9692, N03-5006:0.9614, W01-1305:0.9523, W07-2108:0.9512, W06-2111:0.9429, I05-1037:0.9401, W06-2107:0.9382, P11-2047:0.9354, P09-1071:0.9298, W01-1312:0.9297
A00-2025 ==> W13-3006:0.9532, W13-2606:0.9527, P06-1069:0.9483, W01-1615:0.9481, W07-1422:0.9474, N03-5005:0.9471, A00-1042:0.9469, C00-1055:0.9462, W99-0609:0.9454, C02-1140:0.9453
W07-2208 ==> W06-1619:0.9401, C08-1069:0.9301, W11-0407:0.9121, C10-1144:0.9004, P13-2107:0.8963, P10-1055:0.8922, I05-1018:0.8820, E06-1001:0.8818, L08-1246:0.8803, E09-1093:0.8773
C04-1091 ==> E06-1004:0.9753, J10-3001:0.9568, W12-0106:0.8944, N07-2009:0.8822, W05-0829:0.8742, W04-3227:0.8634, I08-8001:0.8633, W04-2708:0.8632, C02-1050:0.8504, W11-2211:0.8479
P11-2113 ==> W11-0507:0.9571, W14-3703:0.9418, W09-2804:0.9378, C10-1111:0.9263, N13-1047:0.9243, L08-1063:0.9224, N10-1100:0.9196, P10-1084:0.9182, Q13-1008:0.9138, P09-2027:0.9124
W12-3123 ==> P11-1084:0.9390, W08-0903:0.9288, C10-1071:0.9238, D11-1127:0.9232, I08-2120:0.9229, W12-3151:0.9227, L08-1132:0.9214, L08-1257:0.9187, P13-2044:0.9179, C00-2122:0.9146
W05-1516 ==> P08-1061:0.8686, C10-1007:0.8512, W06-2904:0.8431, E12-1042:0.8417, P11-1067:0.8201, W14-4202:0.8104, C10-2015:0.8063, P13-3005:0.8044, W13-3511:0.8026, W13-4908:0.8009
W06-0607 ==> W10-4119:0.9787, S10-1098:0.9750, W08-1124:0.9747, W07-1515:0.9682, P05-2006:0.9673, W05-0308:0.9650, P06-1133:0.9649, C08-2002:0.9615, N06-3005:0.9612, P11-4022:0.9581
W14-3337 ==> P11-1077:0.7837, S10-1021:0.7824, W11-1916:0.7658, W11-2104:0.7657, D10-1002:0.7632, D10-1066:0.7614, W14-0804:0.7590, N13-1024:0.7567, W09-1008:0.7541, P13-2110:0.7517
P11-1118 ==> D10-1084:0.8725, W02-1501:0.8720, W10-4327:0.8706, P99-1051:0.8670, N12-1001:0.8665, E06-1014:0.8637, W14-3106:0.8626, W10-0516:0.8593, W04-0204:0.8578, D11-1069:0.8565
P09-4006 ==> W03-1108:0.9667, P03-2025:0.9538, C02-1166:0.9355, W11-1219:0.9346, I08-4002:0.9237, I08-2084:0.9211, D09-1091:0.9149, P09-2006:0.9027, I08-1049:0.8981, C04-1117:0.8962
W08-1135 ==> W10-4323:0.9568, P99-1020:0.9566, P99-1079:0.9547, E99-1023:0.9519, P07-2041:0.9519, P03-1032:0.9517, N04-2004:0.9506, W02-0101:0.9497, W07-0309:0.9486, W00-1014:0.9485
P11-2074 ==> P11-1104:0.9471, D14-1183:0.9459, W13-2214:0.9413, N13-1003:0.9413, C14-1181:0.9403, P13-1032:0.9370, P11-1129:0.9353, E14-4034:0.9351, D10-1091:0.9350, W10-1719:0.9345
P05-1004 ==> J09-3004:0.9246, W07-2032:0.9158, W10-3906:0.9126, W14-1114:0.8644, W07-2090:0.8440, W12-1707:0.8304, W06-1654:0.8287, W05-1011:0.8255, W07-0610:0.8206, W10-0607:0.8199
P13-1159 ==> E14-4025:0.8141, S13-2068:0.8079, C08-1052:0.7913, D13-1091:0.7912, D14-1127:0.7769, W14-5906:0.7677, W14-2607:0.7578, P11-2064:0.7554, W11-2128:0.7508, S13-2086:0.7500
P04-1085 ==> W08-0123:0.9560, D09-1118:0.9559, W14-4321:0.9379, W11-2005:0.9361, L08-1475:0.9360, N07-4009:0.9312, J12-2009:0.9295, N07-1004:0.9270, N06-2014:0.9263, W10-1818:0.9236
E14-1060 ==> P07-1012:0.9355, E12-1067:0.9328, W06-3209:0.9307, W14-2804:0.9238, W02-0604:0.9158, I05-1009:0.9123, W05-0503:0.9113, E14-2006:0.9033, W14-2808:0.9021, D09-1070:0.8942
P07-1039 ==> W08-0326:0.8823, N07-2022:0.8650, W12-0215:0.8605, W10-3813:0.8506, P09-2058:0.8501, W12-0109:0.8498, W10-2913:0.8496, E12-3008:0.8447, I08-1033:0.8414, N07-2007:0.8408
W10-1702 ==> W13-0803:0.9375, D13-1201:0.9349, W12-3159:0.9336, E14-4034:0.9331, N13-1025:0.9301, P13-1078:0.9281, P09-1065:0.9278, W12-6219:0.9272, P06-1098:0.9256, C10-2033:0.9253
D13-1115 ==> W14-2509:0.8383, P11-1096:0.8325, D12-1137:0.8313, P14-1068:0.8166, N09-2030:0.8139, P14-2134:0.7684, W14-5403:0.7661, W11-2503:0.7641, P13-1144:0.7540, D12-1130:0.7510
I05-1073 ==> W03-1509:0.9678, W06-0103:0.9522, D09-1162:0.9442, W04-1102:0.9405, H05-1054:0.9369, I05-3034:0.9177, W04-1119:0.9148, W03-1718:0.9125, P03-1035:0.9028, I05-3001:0.9025
J06-2001 ==> L08-1163:0.9526, L08-1097:0.9405, I08-2107:0.9395, W06-2910:0.9325, C08-1057:0.9247, P12-1090:0.8959, P07-3016:0.8847, L08-1078:0.8788, W08-2212:0.8773, P04-2008:0.8755
W06-1312 ==> P14-2059:0.9678, L08-1047:0.9666, W06-1613:0.9631, W06-0804:0.9628, N07-1040:0.9580, N06-1050:0.9567, D13-1012:0.9310, P06-1116:0.9285, D09-1155:0.9222, W10-0402:0.8571
P13-1072 ==> P07-2016:0.8267, E09-1028:0.8263, H05-1062:0.8209, W06-2808:0.8183, W04-1102:0.8147, D09-1162:0.8111, P13-2033:0.8034, W06-0103:0.8010, I08-4022:0.7994, P06-1125:0.7988
W06-1422 ==> W06-1421:0.9897, L08-1369:0.9893, E09-2009:0.9776, W09-0603:0.9685, P08-2050:0.9468, E06-1045:0.9445, W08-1133:0.9425, W10-4201:0.9276, E06-1040:0.9164, P09-2076:0.9118
W12-4108 ==> D11-1146:0.9515, W11-0316:0.9074, W06-3111:0.9022, N06-1057:0.8848, W14-5801:0.8838, W05-1204:0.8707, D08-1043:0.8528, N13-3005:0.8503, P13-4028:0.8434, W06-1610:0.8390
P10-1022 ==> W07-0208:0.9191, L08-1240:0.9172, N10-2004:0.8933, J09-2002:0.8832, N13-1125:0.8806, W07-1212:0.8802, W07-1517:0.8762, W09-2601:0.8741, W10-1819:0.8732, W08-1303:0.8702
W14-0811 ==> L08-1550:0.9751, P06-2057:0.9672, W12-1902:0.9413, W12-3404:0.8753, W10-1811:0.8551, C02-1162:0.8392, L08-1226:0.8340, W08-1801:0.8263, P12-2029:0.8246, W06-0612:0.8237
W06-0406 ==> W04-1510:0.9791, W06-1502:0.9779, P06-1138:0.9764, C02-1113:0.9743, P01-1029:0.9736, C02-1116:0.9589, W04-0408:0.9519, P01-1028:0.9473, C00-2087:0.9471, P02-1003:0.9441
N03-1013 ==> P01-1032:0.9838, P00-1059:0.9225, W06-1407:0.9039, C00-2126:0.7783, W03-1002:0.7760, W01-0812:0.7742, W05-1604:0.7690, W05-1601:0.7617, P01-1020:0.7606, W06-1208:0.7543
