C02-1122 ==> H01-1043:0.9572, C04-1174:0.9396, W02-1608:0.8742, I08-2110:0.8342, N06-1023:0.7811, P06-2076:0.7622, P09-2052:0.7531, I05-1005:0.7437, P06-2097:0.7207, C02-1051:0.7091
P14-1069 ==> P13-1043:0.9029, P12-1026:0.9003, W10-4150:0.8886, P13-2110:0.8705, P13-1013:0.8687, P11-2126:0.8628, P12-1025:0.8401, P13-2018:0.8367, C14-2004:0.8342, C14-1051:0.8325
N09-1007 ==> D13-1119:0.8987, I08-4009:0.8873, P06-2123:0.8854, W06-0118:0.8759, P07-2007:0.8693, W10-4128:0.8678, I08-4012:0.8637, C10-2139:0.8636, W10-4129:0.8613, W10-4138:0.8605
N06-1019 ==> D11-1115:0.7874, S10-1069:0.7835, W04-3215:0.7672, W09-3306:0.7654, W14-5205:0.7583, E14-1014:0.7551, W03-0401:0.7381, P07-3002:0.7213, J13-3010:0.7196, D08-1050:0.7137
W13-1402 ==> W12-2502:0.9091, P11-2014:0.8752, D10-1051:0.8703, W09-2005:0.8059, W12-2514:0.7841, D10-1016:0.7674, W10-0305:0.7666, C04-1160:0.7560, N13-2004:0.7433, W09-2006:0.7385
I05-1040 ==> C00-1061:0.9663, C04-1103:0.9618, I08-1031:0.9557, P10-2051:0.9373, C10-2112:0.9293, P04-3003:0.9284, I05-1003:0.9272, P06-2025:0.9197, I08-1008:0.9186, C04-1119:0.9166
W09-1302 ==> N03-5006:0.8689, W10-1920:0.8576, W07-2108:0.8399, N03-1034:0.8346, H05-1038:0.8340, W12-2405:0.8124, I05-1037:0.8010, W06-2111:0.7948, W02-0404:0.7935, W02-0209:0.7924
A00-2025 ==> N12-3005:0.8455, E03-1018:0.8399, C02-2015:0.8352, C02-1140:0.8266, W05-0108:0.8207, W02-0106:0.8176, W02-0112:0.8109, W09-2819:0.8105, P03-1053:0.8100, W06-3711:0.8006
W07-2208 ==> C08-1069:0.8952, W06-1619:0.8750, W07-1209:0.8434, P06-1037:0.8416, C10-1144:0.8234, E09-1093:0.7890, W08-1705:0.7746, P06-1041:0.7721, P09-2014:0.7499, C00-2155:0.7418
C04-1091 ==> E06-1004:0.9463, J10-3001:0.9005, N03-1010:0.7332, W09-2308:0.7108, L08-1566:0.7036, C02-1050:0.6772, N07-2009:0.6721, W12-6217:0.6679, W12-0215:0.6649, P13-1003:0.6624
P11-2113 ==> Q13-1008:0.9352, P14-2055:0.9075, P11-1050:0.9054, E12-1022:0.8954, N09-1041:0.8835, W11-0507:0.8816, W14-3703:0.8628, P07-2025:0.8584, C14-1084:0.8517, D13-1069:0.8479
W12-3123 ==> C14-2028:0.8394, P14-1067:0.8206, W09-3712:0.8198, W12-3111:0.8168, W12-3151:0.8149, W12-3114:0.8076, W13-2255:0.8059, L08-1132:0.7901, P13-4014:0.7881, W13-2231:0.7867
W05-1516 ==> P08-1061:0.7478, N07-3002:0.7471, W06-2904:0.7383, D08-1007:0.7090, N06-1021:0.6963, P12-1023:0.6823, D09-1058:0.6724, P13-2019:0.6645, P08-1110:0.6498, D13-1129:0.6432
W06-0607 ==> S10-1098:0.9312, W10-4119:0.9218, W05-0308:0.9164, P05-2006:0.9054, L08-1617:0.9029, N06-3005:0.8686, W07-1515:0.8656, C08-2002:0.8613, W06-0306:0.8409, S10-1100:0.8394
W14-3337 ==> C14-2014:0.8507, C14-1184:0.8314, W12-1705:0.7587, W11-1515:0.7322, P11-1077:0.7305, D13-1195:0.7226, W14-2702:0.7057, W14-0902:0.7046, W08-1005:0.6973, E14-4032:0.6955
P11-1118 ==> W04-2317:0.7961, I05-2047:0.7821, W06-1662:0.7656, D08-1100:0.7651, H05-1122:0.7576, N12-1001:0.7526, W06-3915:0.7513, N09-2013:0.7487, E06-1035:0.7480, W10-4345:0.7468
P09-4006 ==> W14-4805:0.9433, W03-1108:0.9265, I08-2084:0.9230, P03-2025:0.8972, W11-1219:0.8493, D09-1091:0.8315, E06-2014:0.8313, C10-2073:0.8216, I08-1022:0.8190, C04-1138:0.8182
W08-1135 ==> I05-4007:0.8535, W06-3708:0.8496, W02-1102:0.8418, W10-1835:0.8320, W06-3711:0.8309, W99-0107:0.8307, N04-3003:0.8274, P99-1079:0.8251, W04-2113:0.8171, W03-0104:0.8154
P11-2074 ==> W10-3814:0.8321, N09-2006:0.8281, D14-1062:0.8198, N13-1035:0.8132, P13-2122:0.8083, E12-1083:0.8032, C14-1105:0.7986, P12-1002:0.7974, P13-2069:0.7947, N07-1008:0.7937
P05-1004 ==> J09-3004:0.8598, W07-2032:0.8425, W14-1114:0.8107, W10-3906:0.7740, W09-3531:0.7629, N06-1017:0.7488, W07-2090:0.7458, S10-1090:0.7437, E09-1045:0.7224, N07-1024:0.7097
P13-1159 ==> P13-1170:0.8329, D12-1034:0.7882, D11-1076:0.7817, P14-1093:0.7418, C08-1120:0.7407, D12-1057:0.7093, W10-3907:0.6842, C14-1220:0.6726, P08-1047:0.6717, P14-1092:0.6625
P04-1085 ==> N03-2012:0.8847, W08-0123:0.8683, E06-1022:0.8486, N06-2014:0.8458, D09-1118:0.8423, N07-4009:0.8391, W08-0125:0.8339, W14-4321:0.8316, W11-2005:0.8315, W03-1209:0.8299
E14-1060 ==> E12-1066:0.8828, W14-2804:0.8805, E12-1067:0.8618, E06-2023:0.8588, W06-3209:0.8574, W06-3208:0.8440, I08-1003:0.8438, D09-1070:0.8298, W04-0105:0.8296, D11-1057:0.8218
P07-1039 ==> W12-0109:0.8397, W08-0326:0.8104, W09-0421:0.7913, I08-1033:0.7749, D09-1050:0.7701, P11-3001:0.7568, E09-1063:0.7533, P06-1002:0.7429, P12-2056:0.7422, W06-3121:0.7388
W10-1702 ==> W10-1756:0.8098, W10-1717:0.8080, N10-1139:0.8015, W09-0416:0.7993, W11-2116:0.7992, N13-1034:0.7979, P09-1106:0.7935, D09-1147:0.7892, C08-1014:0.7852, W11-2142:0.7832
D13-1115 ==> D14-1005:0.8349, P14-2135:0.8238, D13-1202:0.7784, P12-1015:0.7520, W11-2503:0.7248, P14-1046:0.7214, P13-1056:0.7178, P14-1068:0.7097, P14-1132:0.6934, D12-1130:0.6928
I05-1073 ==> W03-1509:0.8603, D09-1162:0.8529, W04-1119:0.8436, W06-0103:0.8425, I05-3034:0.8353, W04-1102:0.8271, W03-1729:0.8100, I08-4023:0.8067, P07-2016:0.8061, W03-1718:0.8060
J06-2001 ==> C08-1057:0.9057, L08-1097:0.9001, L08-1163:0.8829, W06-2910:0.8539, I08-2107:0.8494, P06-1044:0.8217, H05-1077:0.8117, S14-1022:0.8045, P12-1090:0.7909, P04-2007:0.7897
W06-1312 ==> W06-1613:0.9541, N06-1050:0.9452, W06-0804:0.9292, L08-1047:0.9138, D13-1012:0.9134, N07-1040:0.9097, P06-1116:0.9060, W09-3611:0.8641, P14-2059:0.8573, W09-3610:0.8453
P13-1072 ==> W12-2106:0.6825, P11-2013:0.6524, P14-2122:0.6502, P10-1079:0.6373, I08-4015:0.6346, W13-2906:0.6310, W14-1309:0.6306, P14-2060:0.6229, E14-2009:0.6228, D14-1011:0.6207
W06-1422 ==> W06-1421:0.9843, L08-1369:0.9617, E09-2009:0.8424, E06-1045:0.8049, E06-1040:0.7948, W09-0603:0.7900, W09-0615:0.7882, W07-1909:0.7807, W08-1113:0.7794, W14-4419:0.7636
W12-4108 ==> D11-1146:0.9255, W11-0316:0.8915, D08-1043:0.8609, P13-1084:0.8224, P09-1082:0.8025, C14-1010:0.7782, J10-3010:0.7634, P13-2146:0.7583, P11-1066:0.7548, C10-1148:0.7504
P10-1022 ==> C10-2051:0.8387, L08-1039:0.8383, D09-1126:0.8191, C10-1122:0.8100, W09-2601:0.8036, P10-5001:0.7998, E09-1053:0.7874, W09-1508:0.7862, J13-3010:0.7802, P13-2107:0.7790
W14-0811 ==> L08-1550:0.9460, P06-2057:0.9341, W12-1902:0.9003, W09-1127:0.8084, I08-6003:0.7903, I05-6002:0.7355, W08-2137:0.7336, C04-1134:0.7281, E09-1026:0.7211, E06-2013:0.7195
W06-0406 ==> C04-1026:0.9473, W06-1502:0.9264, W04-1510:0.9263, C02-1116:0.9046, W06-1513:0.9015, W04-0408:0.8957, P01-1029:0.8869, P06-1018:0.8812, C08-3003:0.8681, W05-1605:0.8660
N03-1013 ==> P01-1032:0.9691, P00-1059:0.9175, W06-1407:0.8353, W03-1002:0.7115, P04-1048:0.6688, W10-4219:0.6143, W05-1604:0.6126, W05-0826:0.6069, W01-0815:0.6064, W08-1510:0.6026
C14-1176 ==> D13-1118:0.9038, J14-1007:0.9018, P11-2036:0.8952, D14-1180:0.8895, P09-2085:0.8758, P13-1077:0.8727, W13-3519:0.8644, P10-2042:0.8607, P13-1030:0.8603, D12-1021:0.8601
C14-1025 ==> P13-1134:0.8502, Q13-1013:0.8490, D14-1042:0.8109, W11-0122:0.8035, W09-3740:0.8026, E14-1008:0.7995, S14-1005:0.7895, E12-1059:0.7889, P13-2048:0.7840, S13-2043:0.7732
D07-1067 ==> W06-1632:0.8490, W04-3210:0.8339, W03-1009:0.7453, P02-1026:0.7271, P08-1097:0.6998, W04-3211:0.6876, W10-2006:0.6842, W04-2002:0.6804, N09-1075:0.6672, W07-1707:0.6615
W13-2502 ==> L08-1130:0.7954, W13-3523:0.7650, P14-1121:0.7448, N13-1075:0.7394, W11-1203:0.7365, C10-2055:0.7273, C08-2032:0.7254, W14-1016:0.7253, D14-1129:0.7153, E12-1046:0.7141
C02-1025 ==> P02-1061:0.8566, W03-0423:0.8188, W03-0432:0.7840, W03-0428:0.7538, W03-0420:0.7421, P03-1020:0.7298, W03-0431:0.7144, W02-2031:0.7111, W02-2022:0.7083, W02-2004:0.6953
W14-0504 ==> D13-1004:0.8603, N12-1045:0.8552, P14-1101:0.8084, P13-1148:0.8084, Q13-1021:0.7982, N13-1012:0.7973, D12-1020:0.7807, D13-1005:0.7806, P11-1090:0.7743, W12-3903:0.7712
N09-2018 ==> W04-2010:0.9826, I05-2018:0.9451, W09-2409:0.9443, C10-1137:0.9339, W07-1602:0.9019, P06-2077:0.8996, L08-1458:0.8856, C04-1195:0.8671, W14-5708:0.8596, H05-1105:0.8317
P06-2029 ==> P06-1041:0.9270, P06-1037:0.8611, P09-3006:0.7917, J07-4002:0.7753, P07-1041:0.7709, I05-1019:0.7454, W07-2208:0.7338, C02-1004:0.7253, W08-1004:0.7205, N13-1024:0.7186
P10-1033 ==> P11-2066:0.9128, C10-2084:0.8734, D10-1052:0.8596, P14-1139:0.8593, P11-2029:0.8589, W10-2917:0.8441, N10-1033:0.8311, N12-1004:0.8308, N10-1014:0.8230, P10-1147:0.8226
W14-4314 ==> W11-0144:0.9856, W14-4315:0.9848, E09-1085:0.9811, W12-1808:0.9780, P12-3018:0.9765, W10-4308:0.9698, N10-2009:0.9636, W12-1814:0.9605, W11-2015:0.9551, N13-1129:0.9536
D12-1037 ==> D13-1201:0.8374, W11-2211:0.8309, W14-3314:0.8260, P13-1082:0.8160, W12-3159:0.8153, D11-1004:0.8149, P13-2072:0.8127, W09-0416:0.8074, W13-0803:0.8067, C10-1075:0.7987
P10-1103 ==> E14-4041:0.9672, W10-4235:0.9524, W09-3916:0.8944, W08-0111:0.8939, P10-1008:0.8882, W10-4324:0.8868, W10-4204:0.8828, W11-2011:0.8731, E12-3003:0.8724, E09-1078:0.8710
W06-0206 ==> L08-1053:0.8649, N07-2046:0.7996, I08-2080:0.7951, P05-3015:0.7686, P05-1051:0.7568, P09-2089:0.7564, P04-2010:0.7527, E06-1030:0.7077, I05-2040:0.7050, I08-4004:0.7024
D10-1036 ==> D09-1027:0.9616, S10-1040:0.9587, P11-1039:0.9345, S10-1034:0.9326, W08-1404:0.9317, L08-1304:0.9202, W14-1204:0.9196, C08-1122:0.9188, N10-1101:0.9180, W13-2407:0.9136
W07-0203 ==> E14-3011:0.9644, S10-1037:0.9616, P05-3013:0.9568, S14-2037:0.9547, S10-1030:0.9374, W10-3306:0.9368, W06-3809:0.9328, W08-1404:0.9293, W14-1204:0.9238, P04-3024:0.9133
C08-1082 ==> E09-1071:0.8174, P08-1027:0.8056, I08-1074:0.7953, W07-1108:0.7893, W09-2415:0.7798, S10-1046:0.7686, S13-2025:0.7607, N09-2060:0.7591, W10-0608:0.7530, P07-3013:0.7492
W04-1113 ==> H05-1126:0.9466, I05-2006:0.9466, P03-2027:0.9456, I05-1012:0.9410, P03-1016:0.8942, P06-2069:0.8930, W04-2506:0.8804, I05-1066:0.8527, I05-5007:0.8477, W01-1206:0.8460
D09-1045 ==> P04-1003:0.9098, W11-0114:0.8984, C02-1091:0.8365, W10-2805:0.8062, P10-1093:0.7949, W11-2507:0.7868, D11-1129:0.7868, P08-1028:0.7817, A00-2011:0.7802, J10-4006:0.7770
W06-1511 ==> W06-1515:0.9978, W06-1510:0.9972, P09-1112:0.9927, W06-1507:0.9920, J05-2003:0.9845, W04-1503:0.8698, J01-1004:0.8253, W03-1601:0.7727, I05-5005:0.7588, C10-2020:0.7060
D11-1054 ==> D12-1136:0.8470, W10-2708:0.8027, N12-1074:0.8019, P12-2012:0.7458, W13-4039:0.7425, D13-1096:0.6995, W14-2708:0.6935, N09-1023:0.6919, W12-2108:0.6877, W13-4051:0.6818
D11-1058 ==> D08-1070:0.8202, N10-1022:0.7829, N09-2036:0.7580, W11-1008:0.7422, N10-1139:0.7368, N06-3004:0.7233, D09-1005:0.7224, D11-1085:0.7191, D08-1065:0.7180, C08-5001:0.7131
W06-1002 ==> W06-0109:0.9936, L08-1319:0.9901, W03-1726:0.9795, W04-1608:0.9718, W02-1811:0.9385, W03-1705:0.9362, W04-0105:0.9021, W02-0605:0.8755, W08-0703:0.8747, I05-1009:0.8717
S10-1059 ==> S10-1008:0.9283, S10-1065:0.9259, W09-2417:0.9150, W14-3001:0.9071, W11-0908:0.8400, W07-2018:0.8393, W07-2017:0.8279, S10-1066:0.8274, C08-1084:0.8246, W14-2413:0.8229
D14-1132 ==> P14-1140:0.8180, P14-2023:0.8111, P13-1078:0.8036, P11-1001:0.7933, W11-2119:0.7832, P14-1129:0.7812, W10-1748:0.7799, P14-1066:0.7756, N13-1003:0.7638, P10-1076:0.7564
N03-1006 ==> P04-1062:0.8998, D09-1142:0.7775, P10-2020:0.7511, W02-2006:0.7383, P05-1044:0.7111, W05-1508:0.6952, W03-0407:0.6615, W05-0807:0.6584, H05-1050:0.6512, N07-1032:0.6463
P05-3002 ==> C04-1110:0.8671, N06-2004:0.8651, N06-2050:0.7901, D08-1019:0.7877, P07-2013:0.7530, W10-0902:0.7489, W04-1011:0.7266, W11-1607:0.7234, P05-3019:0.7227, J02-4001:0.7161
P12-1016 ==> P08-2039:0.8105, W13-2808:0.7978, W11-2126:0.7961, W12-3130:0.7889, P10-1047:0.7852, W13-2811:0.7764, C14-1041:0.7741, W13-2218:0.7726, W08-2118:0.7656, W11-2127:0.7649
W13-2245 ==> C14-1193:0.8683, W13-2256:0.8477, P12-1098:0.8452, W11-2105:0.8308, W08-0324:0.8247, W13-2254:0.8232, P14-2124:0.8225, W11-1002:0.8209, N10-1031:0.8178, W14-0308:0.8164
L08-1605 ==> W02-0106:0.7647, P03-2009:0.7586, P99-1047:0.7557, W99-0106:0.7540, W10-1501:0.7456, H05-2008:0.7420, P03-1053:0.7415, W05-0108:0.7376, W13-2706:0.7361, W13-2119:0.7351
P06-2023 ==> N13-2003:0.9169, P05-1075:0.9113, L08-1281:0.8990, P06-1076:0.8446, W03-1804:0.8376, P01-1013:0.8306, I05-1088:0.8276, I05-1009:0.8219, W03-1704:0.7915, W07-1107:0.7911
W06-2410 ==> W09-2904:0.8725, W09-2901:0.8179, W09-2906:0.8119, N03-2027:0.8079, L08-1259:0.8060, C10-1125:0.8057, W06-1201:0.8032, L08-1257:0.7910, W04-0410:0.7888, W06-2407:0.7824
P04-1043 ==> W04-2403:0.9679, P06-1117:0.7070, E09-1024:0.7046, E06-1015:0.6948, W05-1002:0.6943, W06-2607:0.6935, I08-2109:0.6920, W05-0630:0.6886, W05-0407:0.6869, W07-2062:0.6799
I08-4020 ==> W09-0633:0.7865, W08-1805:0.7847, W06-0132:0.7713, W03-1118:0.7686, I05-3009:0.7638, I05-3002:0.7633, I05-2010:0.7625, W10-1104:0.7473, W02-0106:0.7467, C02-1089:0.7465
S13-2043 ==> S14-1005:0.8512, S13-2041:0.8436, P12-3012:0.8316, S10-1087:0.8293, S13-2040:0.8235, L08-1182:0.8180, W10-3301:0.8160, P10-1154:0.8085, D14-1065:0.8083, C14-1151:0.8066
P07-1075 ==> P06-2074:0.8952, W08-0603:0.8489, D09-1016:0.8455, S10-1074:0.8428, C04-1078:0.8331, P06-1016:0.8316, E12-1030:0.7745, E12-1029:0.7707, P11-1114:0.7662, P03-1043:0.7652
P09-1061 ==> W14-4016:0.7990, W11-0223:0.7871, S10-1080:0.7609, W10-2001:0.7602, E14-4024:0.7522, N03-3002:0.7497, W04-3010:0.7484, N06-1029:0.7424, D07-1043:0.7395, W10-1614:0.7273
