C02-1122 ==> H01-1043:0.9578, C04-1174:0.9563, W02-1608:0.9258, I08-2110:0.9224, P09-2052:0.8665, N06-1023:0.8437, I05-1005:0.8289, P06-1022:0.7841, D07-1032:0.7799, P02-1028:0.7798
P14-1069 ==> C14-2004:0.9358, E14-1018:0.9207, J11-1005:0.9063, P13-1043:0.9013, P12-1025:0.8958, P12-1110:0.8935, W13-4904:0.8927, P14-6008:0.8916, P13-2020:0.8883, P13-1013:0.8870
N09-1007 ==> W10-4133:0.9457, C10-1132:0.9414, I05-3018:0.9388, P06-2123:0.9374, W10-4136:0.9328, N06-2049:0.9299, W10-4122:0.9208, P07-2007:0.9194, W06-0118:0.9167, P12-1027:0.9134
N06-1019 ==> P09-2014:0.9110, E14-1014:0.8994, C14-1057:0.8820, D11-1115:0.8817, W14-5205:0.8776, W11-0221:0.8742, C10-2168:0.8725, C10-1122:0.8600, J13-3010:0.8561, N12-1030:0.8558
W13-1402 ==> W12-2502:0.9159, P11-2014:0.8976, D10-1051:0.8852, W09-2005:0.8746, N13-2004:0.8030, D13-1011:0.7957, W12-2514:0.7812, N10-1086:0.7791, W10-0205:0.7682, D10-1016:0.7644
I05-1040 ==> I08-1031:0.9912, C04-1103:0.9858, I08-1008:0.9829, P10-2051:0.9827, P04-3003:0.9813, I05-1003:0.9808, P06-2025:0.9806, N10-1102:0.9778, P04-1024:0.9760, C10-2112:0.9719
W09-1302 ==> S10-1076:0.9571, W07-2108:0.9544, N03-5006:0.9463, W00-0503:0.9451, J09-4007:0.9394, N03-4004:0.9382, W06-2107:0.9344, W01-1305:0.9322, W11-0143:0.9309, D08-1074:0.9218
A00-2025 ==> W10-4323:0.9600, W06-2206:0.9595, W06-3711:0.9558, W06-3207:0.9554, C00-2161:0.9553, A00-1042:0.9545, I05-3009:0.9542, W06-1111:0.9530, P13-1098:0.9529, I05-3015:0.9528
W07-2208 ==> W06-1619:0.9424, D08-1050:0.9271, W07-2206:0.9066, C10-2051:0.8908, W08-1304:0.8853, S10-1069:0.8848, I05-1018:0.8791, W07-1209:0.8784, L08-1073:0.8757, W14-2406:0.8721
C04-1091 ==> E06-1004:0.9768, J10-3001:0.9581, W12-6217:0.8515, N03-1010:0.8497, W12-0106:0.8488, D12-1089:0.8468, P06-1090:0.8401, L08-1566:0.8401, W06-3109:0.8379, C10-2010:0.8374
P11-2113 ==> Q13-1008:0.9487, W13-3109:0.9345, C14-1113:0.9325, P10-1084:0.9301, P11-1050:0.9201, C10-2046:0.9190, P14-2041:0.9118, W13-3105:0.9058, D13-1069:0.9047, D08-1079:0.9032
W12-3123 ==> W02-0112:0.9433, N04-3003:0.9420, W04-0709:0.9406, P05-2019:0.9404, P09-5004:0.9395, W02-0710:0.9395, W03-2108:0.9391, W09-3712:0.9388, W12-3151:0.9361, W10-2708:0.9359
W05-1516 ==> P08-1061:0.8592, P09-1041:0.8519, W14-4202:0.8474, D13-1059:0.8401, N06-1021:0.8317, P08-1110:0.8302, W06-2904:0.8217, P13-1044:0.8200, C10-2135:0.8181, P12-1071:0.8136
W06-0607 ==> S10-1098:0.9784, W10-4119:0.9771, C08-2002:0.9736, W10-3505:0.9711, W07-1515:0.9686, P11-4022:0.9668, N09-1056:0.9666, P05-2006:0.9649, W05-0308:0.9636, L08-1617:0.9530
W14-3337 ==> C14-2014:0.8040, C14-1184:0.7939, S10-1021:0.7846, E14-1012:0.7787, W14-2702:0.7674, P11-4015:0.7663, D13-1086:0.7534, P11-1077:0.7530, E14-4032:0.7446, W13-4021:0.7393
P11-1118 ==> P09-3010:0.9297, C02-1044:0.9294, I05-3015:0.9294, W01-1505:0.9287, C02-1148:0.9268, A00-2025:0.9233, W02-1505:0.9224, E99-1015:0.9221, W09-3935:0.9219, C00-2098:0.9217
P09-4006 ==> W03-1108:0.9753, P03-2025:0.9611, D09-1091:0.9380, C02-1166:0.9245, I08-2084:0.9204, W08-1402:0.9091, P04-1067:0.9081, W11-1219:0.9014, I08-1022:0.9014, I08-4002:0.8984
W08-1135 ==> W08-0202:0.9683, P07-3001:0.9680, W06-3711:0.9638, P13-2054:0.9637, W02-1038:0.9593, E99-1011:0.9589, W02-1505:0.9577, J00-2003:0.9574, I05-2043:0.9573, W09-2818:0.9571
P11-2074 ==> W08-1510:0.9448, N07-1008:0.9163, C08-1137:0.9133, N13-1074:0.9095, P13-1032:0.9086, N09-2006:0.9074, D09-1105:0.9063, W12-4207:0.9062, D10-1091:0.9040, N13-1001:0.9035
P05-1004 ==> W07-2032:0.9263, J09-3004:0.9123, W14-1114:0.8693, W10-3906:0.8579, W11-2508:0.8548, W11-2505:0.8376, W11-1501:0.8336, W10-0607:0.8188, W10-2801:0.8126, W09-0214:0.8091
P13-1159 ==> W12-4301:0.8036, S14-2059:0.7988, D11-1013:0.7973, N13-1041:0.7908, S14-2063:0.7882, W14-2618:0.7842, S14-2099:0.7837, W14-2111:0.7822, W10-3309:0.7796, W14-3010:0.7787
P04-1085 ==> W08-0123:0.9598, W14-4321:0.9573, N06-2014:0.9542, W11-2005:0.9517, N07-1004:0.9489, W08-0125:0.9449, D09-1118:0.9445, N07-4009:0.9398, P11-2065:0.9368, L08-1475:0.9355
E14-1060 ==> E12-1067:0.9637, W06-3209:0.9623, I08-1003:0.9468, E06-2023:0.9436, W05-0503:0.9423, W04-0105:0.9422, E12-1066:0.9374, W06-3208:0.9329, W02-0604:0.9318, E14-2006:0.9317
P07-1039 ==> W11-0320:0.8899, W09-0413:0.8846, D14-1016:0.8784, I08-1033:0.8756, C10-1084:0.8719, W12-3158:0.8716, P06-1097:0.8713, D09-1105:0.8670, P08-4006:0.8668, W10-0704:0.8657
W10-1702 ==> D13-1026:0.9304, D13-1201:0.9274, D14-1131:0.9215, P11-1127:0.9188, D14-1021:0.9169, W12-6219:0.9081, C10-1050:0.9050, P11-1125:0.9036, C10-2025:0.9002, P13-1003:0.8997
D13-1115 ==> P14-2135:0.8497, P14-1046:0.8281, D14-1005:0.8050, D12-1137:0.7947, W13-3503:0.7940, D12-1130:0.7879, W11-2503:0.7866, P13-4032:0.7840, W14-0818:0.7814, P13-3024:0.7770
I05-1073 ==> W06-0103:0.9504, W03-1509:0.9492, W04-1102:0.9319, W04-1119:0.9262, I05-3034:0.9196, I05-1047:0.9146, P03-1035:0.9117, I05-3035:0.9113, W10-4129:0.9084, N07-1068:0.9079
J06-2001 ==> L08-1163:0.9314, W06-2910:0.9312, L08-1097:0.9186, I08-2107:0.9153, P12-1090:0.9097, C08-1057:0.8870, S14-1022:0.8744, H05-1077:0.8686, D09-1138:0.8678, P04-2008:0.8666
W06-1312 ==> D13-1012:0.9730, N07-1040:0.9676, L08-1047:0.9672, W06-1613:0.9613, W06-0804:0.9604, N06-1050:0.9504, P06-1116:0.9357, P14-2059:0.9326, D09-1155:0.9083, W09-3611:0.8925
P13-1072 ==> P11-2013:0.8954, C14-1167:0.8733, D14-1011:0.8718, W09-2010:0.8397, W10-4133:0.8341, E14-2009:0.8313, P14-2122:0.8312, P11-2028:0.8273, P10-1079:0.8256, I08-4022:0.8256
W06-1422 ==> W06-1421:0.9846, L08-1369:0.9819, E06-1045:0.9437, W08-1113:0.9395, E09-2009:0.9386, W09-0603:0.9379, W07-1909:0.9300, W05-1601:0.9253, N07-1021:0.9216, P08-2050:0.9163
W12-4108 ==> C14-1050:0.9105, D11-1146:0.9028, W11-0316:0.8902, W06-3111:0.8816, W05-1204:0.8503, D08-1043:0.8498, C08-2021:0.8348, C10-2054:0.8342, L08-1304:0.8299, W12-2905:0.8276
P10-1022 ==> L08-1039:0.9220, N09-2032:0.8906, L08-1597:0.8700, N13-1125:0.8694, W05-1002:0.8661, D10-1072:0.8646, P09-1005:0.8642, W07-0208:0.8640, W11-2706:0.8596, P13-2107:0.8587
W14-0811 ==> P06-2057:0.9584, L08-1550:0.9405, W12-1902:0.8982, W10-1811:0.8724, W08-1801:0.8717, W08-2133:0.8544, I08-6003:0.8503, W04-3211:0.8445, W08-2126:0.8422, W08-2137:0.8315
W06-0406 ==> W06-1502:0.9714, W04-1510:0.9669, P01-1029:0.9654, W04-0408:0.9595, C00-2087:0.9522, P01-1028:0.9518, P07-1043:0.9462, C04-1026:0.9400, C02-1116:0.9392, C02-1113:0.9362
N03-1013 ==> P01-1032:0.9725, P00-1059:0.9047, W06-1407:0.8771, W03-1002:0.8407, P04-1048:0.7645, C00-2126:0.7474, W13-2713:0.7182, W05-1007:0.7157, W05-1604:0.7148, P01-1020:0.7140
