paper id	author id	affiliation id

E09-1040	10007	3

L08-1119	10007	3

L08-1374	10007	3

C08-2010	10007	4

W04-1105	1268	5

W06-1624	1268	5

I05-1001	1993	5

P06-2023	1993	5

W06-1624	1993	5

W04-1119	2230	5

W06-1624	2584	5

I05-1001	3448	5

P06-2023	3448	5

W02-1806	3464	5

W04-1105	3740	5

P06-2125	4754	5

W04-1105	4891	5

W06-1624	4891	5

W07-1110	4891	5

I05-1001	4978	5

P06-2023	4978	5

W04-1105	4978	5

W06-1624	4978	5

W07-1110	4978	5

W02-1806	6367	5

P04-1059	6644	5

C08-1044	7447	5

P06-2023	8192	5

P03-1032	8706	5

P06-2023	8961	5

W06-1624	8961	5

W02-1806	8968	5

P06-4010	9111	5

W05-0401	9111	5

H05-1027	9197	5

H05-1027	9212	5

I05-1083	9212	5

W07-1110	9324	5

P06-2125	9369	5

P08-1104	9509	5

D08-1054	9626	5

P08-1019	9799	5

P08-1104	9799	5

C08-1063	10008	5

C08-1044	10097	5

C08-1063	10366	5

I08-1022	10385	5

D08-1054	11026	5

I08-1022	11246	5

P08-1104	11253	5

C08-1063	11290	5

P08-1019	11290	5

P08-1104	11290	5

P09-1001	11290	5

P08-1104	11324	5

P09-1001	11493	5

P09-1001	11538	5

P09-1001	12433	5

D09-1054	12446	5

I08-1022	19349	5

L08-1290	9791	6

W09-1215	9791	6

L08-1290	10009	6

C08-1062	10047	6

P09-2030	10047	6

I08-2120	10332	6

I08-2120	10358	6

L08-1290	10812	6

W09-1215	10812	6

W09-1215	12384	6

W09-1215	12473	6

W07-0734	61	8

W08-0312	61	8

W08-0324	61	8

C04-1196	129	8

N04-3010	131	8

L08-1581	178	8

N06-2002	178	8

N06-2003	269	8

N06-4001	269	8

W05-0208	269	8

W06-3407	269	8

N07-1046	347	8

N09-2001	347	8

N09-2038	347	8

P08-2020	347	8

W08-0321	347	8

N03-4015	359	8

N06-4003	406	8

P05-3019	406	8

W05-0909	406	8

W06-3404	406	8

W07-2086	406	8

W09-3910	406	8

P00-1038	563	8

L08-1102	654	8

N04-3010	654	8

N06-1030	654	8

N09-2038	654	8

P08-5002	654	8

W02-0711	654	8

E03-2001	712	8

H05-1029	712	8

N07-1035	712	8

N07-2003	712	8

W07-0305	712	8

H05-1103	873	8

C00-1019	877	8

H01-1002	877	8

H01-1066	877	8

N06-2011	877	8

P02-1052	877	8

W02-0711	877	8

W05-0813	877	8

L08-1015	926	8

L08-1016	926	8

I08-1056	1020	8

L08-1581	1020	8

N06-2011	1020	8

N07-1041	1020	8

W00-0405	1020	8

W02-0106	1020	8

W04-0107	1020	8

W04-3251	1020	8

W05-0813	1020	8

W07-1315	1020	8

W08-0708	1020	8

W09-1908	1020	8

W05-0208	1028	8

W04-3240	1066	8

W06-3406	1066	8

A00-2012	1100	8

W07-0811	1100	8

N06-2005	1199	8

N09-2038	1199	8

D08-1100	1345	8

W05-0404	1345	8

D07-1022	1441	8

N09-1009	1441	8

P09-2001	1441	8

D08-1095	1442	8

D08-1099	1442	8

D09-1156	1442	8

H05-1056	1442	8

N06-2024	1442	8

N09-1054	1442	8

P08-1029	1442	8

P09-1050	1442	8

W04-3240	1442	8

W06-3315	1442	8

W06-3406	1442	8

W06-3801	1442	8

N04-1025	1465	8

N07-1058	1465	8

N07-1060	1465	8

W08-0909	1465	8

H01-1037	1579	8

A00-3002	1621	8

H01-1006	1621	8

W02-1034	1621	8

W07-0604	1699	8

C02-1147	1817	8

C04-1059	2052	8

C04-1114	2052	8

L08-1487	2052	8

N07-2006	2052	8

N09-2038	2052	8

W04-3227	2052	8

W01-0503	2135	8

H05-1103	2171	8

N04-1028	2171	8

N07-1058	2171	8

N09-1071	2171	8

P08-5002	2171	8

W07-0305	2171	8

W08-0101	2171	8

W08-0909	2171	8

W08-0910	2171	8

W09-2106	2171	8

N06-4009	2209	8

W07-2023	2209	8

N06-3003	2389	8

W07-0410	2389	8

H01-1002	2453	8

L08-1059	2453	8

L08-1102	2453	8

L08-1581	2453	8

N03-4010	2453	8

N03-4015	2453	8

N06-2002	2453	8

W02-0106	2453	8

W02-0711	2453	8

W08-0410	2453	8

N06-2002	2529	8

N06-2011	2581	8

H01-1071	2586	8

H01-1018	2630	8

N03-4015	2630	8

N06-1018	2630	8

N06-2002	2630	8

W00-0203	2630	8

W02-0703	2630	8

W02-0708	2630	8

W03-2118	2630	8

E06-3001	2691	8

N07-2003	2875	8

W05-0208	2995	8

H01-1018	3078	8

N06-1018	3078	8

W07-0305	3126	8

C02-1137	3171	8

H01-1011	3171	8

L08-1085	3171	8

P06-1133	3171	8

W06-2915	3171	8

N07-1058	3218	8

W08-0909	3218	8

W08-0910	3218	8

N06-2005	3280	8

P08-2020	3280	8

P08-2020	3298	8

W06-1626	3298	8

W09-0406	3298	8

W01-0503	3347	8

H05-1055	3458	8

H05-1061	3458	8

N04-1036	3458	8

W03-1502	3458	8

W03-0908	3477	8

N07-2003	3492	8

N07-2019	3492	8

P08-4005	3492	8

W08-0805	3492	8

P04-3018	3518	8

W05-0813	3704	8

P05-3026	3719	8

W02-0714	3754	8

C02-1137	3755	8

H01-1011	3755	8

N01-1031	3799	8

N09-2010	3814	8

P07-2019	3814	8

P08-4007	3814	8

